Block_ID,Hash,Date,Time,Size,Weight,Input_total_usd,Output_total_usd,Fee_usd
transaction highest 1w outliers,,,,,,,,
500486,c3b4ffd4956a185c0363e0ba04c13ea8be71f063c8dd8960349dde3d9e626b81,12/22/17,12/22/17 03:46,20593,82372,97481900,97478200,3647.23
501451,344e65a29f5d9916abc664e0de7a57b443c637acd4f2aa5c1a4737ba05ea9193,12/28/17,12/28/17 18:02,15699,62796,275498000,275497000,1422.09
500211,6bf22bfc9197da0517733076863a882977b725ca41711e35615423359e536025,12/20/17,12/20/17 03:38,7761,31044,643738000,643737000,873.412
593468,4410c8d14ff9f87ceeed1d65cb58e7c7b2422b2d7529afc675208ce2ce09ed7d,9/6/19,9/6/19 03:30,13611,54444,1000220000,1000220000,691.641
fee highest 1w outliers,,,,,,,,
409008,cc455ae816e6cdafdb58d54e35d4f46d860047458eacf1c7405dc634631c570d,4/26/16,4/26/16 14:15,1963,7852,134143,0.046059,134143
512115,7742e0794c0f4e2d28600f4d8a4e22fab266303da20406a9d3d4cd52e57312dd,3/5/18,3/5/18 12:15,721,2884,4118330,4065390,52948.6
446633,d38bd67153d774a7dab80a055cb52571aa85f6cac8f35f936c4349ca308e6380,1/4/17,1/4/17 20:01,11030,44120,61810.9,10251.9,51559
469057,cb95ab3aef378c14bc59d0db682d96202b981c1f8fad7d66e23e0be06f2a00c4,5/31/17,5/31/17 14:28,51845,207380,554642,515970,38671.9
random,,,,,,,,
254642,4ed20e0768124bc67dc684d57941be1482ccdaa45dadb64be12afba8c8554537,8/28/13,8/28/13 10:45,2011,8044,62198.8,37390.8,24808
236158,a8639a9bfc8b99d0ba396b92eee1ea8e1983ab9ad0ecaecac38ae637b5e80817,5/14/13,5/14/13 11:40,5654,22616,41531.2,40798.3,732.942
157235,1d7749c65c90c32f5e2c036217a2574f3f4403da39174626b246eefa620b58d9,12/12/11,12/12/11 16:57,828,3312,664.237,114.481,549.756
range,,,,,,,,
500486,c3b4ffd4956a185c0363e0ba04c13ea8be71f063c8dd8960349dde3d9e626b81,,12/22/17 03:46,20593,82372,97481880,97478232,3647.2271
500266,5130caf025473e2e22206ad657f64add19f505697f7789348bd77a893fd424e6,,12/20/17 11:58,59759,239036,36565536,36558484,7053.8516