Block_ID,Hash,Date,Time,Size,Weight,Input_total_usd,Output_total_usd,Fee_usd,,,,,,,,,
transaction highest 1w outliers,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
fee highest 1w outliers,,,,,,,,,,,,,,,,,
7238290,0x1f73b43dc9c48cc131a931fac7095de9e5eba0c5184ec0c5c5f1f32efa2a6bab,2/19/19,2/19/19 1:19,0x587ecf600d304f831201c30ea0845118dd57516e,0x5855118caabae6df15594a246ad9a3344d380dec,14.5890564,14.5890564,306370.1843,86375,25,6da27b55fd61402df0a409de44af5642da6a5c000649081a6673d74d47cd4be7,1b4fb3d59ebed62f066b44cbb213d5d93fce31ff37d9510544c0ffd27d18b211,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
random,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
range,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,